"","type","fatalities","injuries","total"
"578","RECORD WARMTH",0,0,0
"579","Record Winter Snow",0,0,0
"581","RECORD/EXCESSIVE RAINFALL",0,0,0
"582","RED FLAG CRITERIA",0,0,0
"583","RED FLAG FIRE WX",0,0,0
"584","REMNANTS OF FLOYD",0,0,0
"587","RIP CURRENTS HEAVY SURF",0,0,0
"589","RIVER AND STREAM FLOOD",0,0,0
"593","ROCK SLIDE",0,0,0
"595","ROTATING WALL CLOUD",0,0,0
"598","RURAL FLOOD",0,0,0
"599","Saharan Dust",0,0,0
"600","SAHARAN DUST",0,0,0
"601","Seasonal Snowfall",0,0,0
"602","SEICHE",0,0,0
"603","SEVERE COLD",0,0,0
"604","SEVERE THUNDERSTORM",0,0,0
